"","sample_id","full_sample_code","mountain_code","lake_code","lake_name","core","drive","top_cm","bottom_cm","mid_cm","rep_or_note","mean_range_BiSi","mean_range_C-H","max_range_BiSi","max_range_C-H","mean_BiSi","mean_C-H","total_210Pb_pCi_g","error_of_total_Pb_sd","cum_dry_mass_g_cm2","unsup_210Pb_pCi_g","error_of_unsup_Pb_sd","age_base_of_interval_yr","error_of_age_sd","date_base_AD","date_mid_AD","DMAR_g_cm2_yr","error_DMAR_sd","partial_rho_g_cm3","lead210_measured","d15N_raw","d13C","d34S","N_perc","C_perc","S_perc","CN_ratio","d15N_LinCorr","d15N","isotope_run","isotope_year_run","isotope_notes","mountain_lake_code","block","crucible","crucible_or_whirkpak_wt_g","wet_wt_with_crucible_or_whirkpak_g","dry_wt_with_crucible_or_whirkpak_g","post_550C_wt_with_crucible_g","volume_cm3","wet_wt_g","dry_wt_g","post_550C_wt_g","water_propor","organics_propor","water_perc","organics_perc","dried_100C_or_freezedried","LOI_notes","range_lake_core_drive_code","mountain_range","state","region","fish","fish_sp_current","current_fish_sp","first_stocked_yr","last_stocked_yr","first_stocked_yr_CUT","first_stocked_yr_BKT","first_stocked_yr_RBT","first_stocked_yr_GT","first_stocked_yr_STE","potential_stocking_prior_fist_documented_stocking_event","Double.checked","stocking.history","fish_disappear_or_eradicated","lat","lon","elevation_ft","elevation_m","area_m_sq_fromlindseyandMORAandNOCA","lake_perimeter_m_google","lake_area_m_google","core_depth_cm","pH","cond_uS","tds_ppm","do_mgL","temp_degF","temp_degC","lake_depth_ft","lake_depth_m","date_water_measurements","date_cored","year_cored","GPS_point","lake_data_notes","dry_perc","wet_density_g_cm3","all_rho_g_cm3","max_bottom_cm_210Pb_dated","min_bottom_cm_210Pb_dated","date_type","interpolated_date_mid_AD","interpolated_error_of_age_sd","interpolated_date_base_AD","interpolated_date_top_AD","mean_DMAR_g_cm2_yr_bottom3","mean_error_DMAR_sd_bottom3","mean_DMAR_g_cm2_yr_bottom3_max","mean_DMAR_g_cm2_yr_bottom3_min","bottom_interpolated_error","bottom_measured_date_mid_AD","thickness","accumulation_rate_cm_yr","years_per_thickness","accumulation_rate_max_cm_yr","accumulation_rate_min_cm_yr","years_per_thickness_max","years_per_thickness_min","cumulative_years","extrapolated_date_mid_AD","cumulative_years_max","extrapolated_date_mid_AD_max","cumulative_years_min","extrapolated_date_mid_AD_min","date_mid_AD_combo","date_mid_AD_min_combo","date_mid_AD_max_combo","fish_present_sample","fish_present_binary","prism_date_base_AD","prism_date_top_AD","mean_air_temp_degC_interval","mean_air_temp_1951_1980_degC","temp_anomaly_mid_cent_degC","temp_anomaly_mid_cent_degC_start","mean_air_temp_degC_anomaly_combined","mean_air_temp_degC_anomaly_extended","d15N_CNS_adj","mean_d15N_1800_1850","d15N_anomaly_mean_1800_1850","d15N_CNS_adj_start","d15N_CNS_adj_diff_from_start","d15N_start","d15N_diff_from_start","state_short","lake_name_state"
"1","BLRO20_0.5","WIND20_BLRO20_1A_1G_0.5","WIND20","BLRO20","Black Rock","1A","1G",0,0.5,0.25,"",NA,NA,NA,NA,NA,NA,87.599,2.957,0.003,81.769,2.958,0.16,1.36,2020.4,2020.5,0.0189,9e-04,0.0059,"y",1.1181192,-25.7255555,NA,1.311918853,9.907347971,NA,7.551799375,NA,1.1181192,"CN","2024_1","LinCorr not calculated, d15N_raw values used in d15N column","WIND20_BLRO20_1A_1G",13,1,5.09701,5.5711,5.09979,5.09911,0.49,0.47409,0.00278,0.0021,0.9941,0.2446,99.4136,24.4604,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",0.586399999999998,0.967530612244898,0.0059,10.5,0.5,"measured",2020.44,1.438,2020.29,2020.59289617486,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020.5,2019.14,2021.86,"fish",1,2020.4,2020.59289617486,-1.6,-2.21333333333333,0.613333333333333,-0.632820512820513,0.613333333333333,NA,1.1181192,4.01417062168382,-2.89605142168382,3.94631418936765,-2.82819498936765,4.413030268,-3.294911068,"WY","Black Rock - WY"
"2","BLRO20_1","WIND20_BLRO20_1A_1G_1","WIND20","BLRO20","Black Rock","1A","1G",0.5,1,0.75,"",3.4554,0.0838,5.169,0.128,85.7323333333333,2.13366666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n",0.9194488,-25.7899914,NA,1.127715486,7.895880036,NA,7.001659671,1.059986402,1.059986402,"CN","2022","LinCorr calculated and used in the d15N column","WIND20_BLRO20_1A_1G",13,2,6.28185,6.76103,6.30451,6.29979,0.49,0.47918,0.02266,0.01794,0.9527,0.2083,95.2711,20.8297,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",4.7289,0.977918367346939,0.0486,10.5,0.5,"interpolated",2019.97,1.428,2019.5,2020.29,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.97,2018.542,2021.398,"fish",1,2019.5,2020.4,-1.9,-2.21333333333333,0.313333333333333,-0.632820512820513,0.313333333333333,NA,1.059986402,4.01417062168382,-2.95418421968382,3.94631418936765,-2.88632778736765,4.413030268,-3.353043866,"WY","Black Rock - WY"
"3","BLRO20_1.5","WIND20_BLRO20_1A_1G_1.5","WIND20","BLRO20","Black Rock","1A","1G",1,1.5,1.25,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n",0.501604,-25.611395,-3.1583584,1.053,7.667,0.161,7.281101614,NA,0.501604,"CNS","2022","LinCorr not different from raw d15N, used in the raw d15N in the d15N column","WIND20_BLRO20_1A_1G",13,3,6.18472,6.64254,6.21816,6.21189,0.49,0.45782,0.03344,0.02717,0.927,0.1875,92.6958,18.75,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",7.30419999999999,0.934326530612245,0.0763,10.5,0.5,"interpolated",2018.81,1.411,2018.02,2019.5,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.81,2017.399,2020.221,"fish",1,2018.02,2019.5,-1.85,-2.21333333333333,0.363333333333333,-0.632820512820513,0.363333333333333,NA,0.0348879213676471,4.01417062168382,-3.97928270031618,3.94631418936765,-3.911426268,4.413030268,-3.911426268,"WY","Black Rock - WY"
"4","BLRO20_2","WIND20_BLRO20_1A_1G_2","WIND20","BLRO20","Black Rock","1A","1G",1.5,2,1.75,"",3.4554,0.0838,5.169,0.128,91.143,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n",0.7487008,-25.2487494,NA,0.941414249,7.002447191,NA,7.438220949,0.948062746,0.948062746,"CN","2022","LinCorr calculated and used in the d15N column","WIND20_BLRO20_1A_1G",13,4,5.21263,5.72575,5.25599,5.24834,0.49,0.51312,0.04336,0.03571,0.9155,0.1764,91.5497,17.643,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",8.4503,1.04718367346939,0.0889,10.5,0.5,"interpolated",2016.95,1.389,2015.84,2018.02,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016.95,2015.561,2018.339,"fish",1,2015.84,2018.02,-1.025,-2.21333333333333,1.18833333333333,-0.632820512820513,1.18833333333333,NA,0.948062746,4.01417062168382,-3.06610787568382,3.94631418936765,-2.99825144336765,4.413030268,-3.464967522,"WY","Black Rock - WY"
"5","BLRO20_2.5","WIND20_BLRO20_1A_1G_2.5","WIND20","BLRO20","Black Rock","1A","1G",2,2.5,2.25,"",NA,NA,NA,NA,NA,NA,79.292,2.198,0.14,73.462,2.2,7.85,1.52,2012.7,2014.3,0.0171,8e-04,0.1058,"y",1.261843,-25.159145,-2.9086144,0.918,6.98,0.153,7.603485839,NA,1.261843,"CNS","2022","LinCorr not different from raw d15N, used in the raw d15N in the d15N column","WIND20_BLRO20_1A_1G",13,5,5.21879,5.75415,5.27212,5.26301,0.49,0.53536,0.05333,0.04422,0.9004,0.1708,90.0385,17.0823,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",9.9615,1.09257142857143,0.1058,10.5,0.5,"measured",2014.39,1.365,2012.95,2015.84,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.3,2012.78,2015.82,"fish",1,2012.7,2015.84,-1.2,-2.21333333333333,1.01333333333333,-0.632820512820513,1.01333333333333,NA,0.795126921367647,4.01417062168382,-3.21904370031618,3.94631418936765,-3.151187268,4.413030268,-3.151187268,"WY","Black Rock - WY"
"6","BLRO20_3","WIND20_BLRO20_1A_1G_3","WIND20","BLRO20","Black Rock","1A","1G",2.5,3,2.75,"",3.4554,0.0838,5.169,0.128,86.373,2.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n",1.4467588,-25.2347172,NA,0.754689228,6.982292403,NA,9.251877655,1.33808103,1.33808103,"CN","2022","LinCorr calculated and used in the d15N column","WIND20_BLRO20_1A_1G",13,6,5.15829,5.63165,5.2205,5.21057,0.49,0.47336,0.06221,0.05228,0.8686,0.1596,86.8578,15.9621,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",13.1422,0.966040816326531,0.1423,10.5,0.5,"interpolated",2011.16,1.325,2009.38,2012.95,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011.16,2009.835,2012.485,"fish",1,2009.38,2012.7,-1.8,-2.21333333333333,0.413333333333333,-0.632820512820513,0.413333333333333,NA,1.33808103,4.01417062168382,-2.67608959168382,3.94631418936765,-2.60823315936765,4.413030268,-3.074949238,"WY","Black Rock - WY"
"7","BLRO20_3.5","WIND20_BLRO20_1A_1G_3.5","WIND20","BLRO20","Black Rock","1A","1G",3,3.5,3.25,"",NA,NA,NA,NA,NA,NA,57.4,1.015,0.292,51.571,1.018,15.91,1.62,2004.7,2006.9,0.0193,8e-04,0.1671,"y",1.696408,-25.11392,-2.4590752,0.634,5.322,0.108,8.394321767,NA,1.696408,"CNS","2022","LinCorr not different from raw d15N, used in the raw d15N in the d15N column","WIND20_BLRO20_1A_1G",13,7,6.27034,6.76115,6.34505,6.33456,0.49,0.49081,0.07471,0.06422,0.8478,0.1404,84.7782,14.041,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",15.2218,1.00165306122449,0.1671,10.5,0.5,"measured",2007.24,1.264,2005.14,2009.38,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006.9,2005.28,2008.52,"fish",1,2004.7,2009.38,-1.75,-2.21333333333333,0.463333333333333,-0.632820512820513,0.463333333333333,NA,1.22969192136765,4.01417062168382,-2.78447870031618,3.94631418936765,-2.716622268,4.413030268,-2.716622268,"WY","Black Rock - WY"
"8","BLRO20_4","WIND20_BLRO20_1A_1G_4","WIND20","BLRO20","Black Rock","1A","1G",3.5,4,3.75,"",3.4554,0.0838,5.169,0.128,76.2783333333333,1.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n",1.5793396,-25.0522986,NA,0.506625377,4.304243907,NA,8.495910585,1.612034637,1.612034637,"CN","2022","LinCorr calculated and used in the d15N column","WIND20_BLRO20_1A_1G",13,8,5.31419,5.8259,5.40613,5.39485,0.49,0.51171,0.09194,0.08066,0.8203,0.1227,82.0328,12.2689,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",17.9672,1.04430612244898,0.2007,10.5,0.5,"interpolated",2002.63,1.198,2000.19,2005.14,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002.63,2001.432,2003.828,"fish",1,2000.19,2004.7,-1.82,-2.21333333333333,0.393333333333333,-0.632820512820513,0.393333333333333,NA,1.612034637,4.01417062168382,-2.40213598468382,3.94631418936765,-2.33427955236765,4.413030268,-2.800995631,"WY","Black Rock - WY"
"9","BLRO20_4.5","WIND20_BLRO20_1A_1G_4.5","WIND20","BLRO20","Black Rock","1A","1G",4,4.5,4.25,"",NA,NA,NA,NA,NA,NA,35.776,0.997,0.53,29.947,1.001,26.15,1.05,1994.4,1997.1,0.0245,8e-04,0.2618,"y",2.2635234,-24.7457996,-2.163028,0.41,3.784,0.07,9.229268293,2.25452428,2.25452428,"CNS","2022","LinCorr calculated and used in the d15N column","WIND20_BLRO20_1A_1G",13,9,4.15631,4.69183,4.27794,4.26531,0.49,0.53552,0.12163,0.109,0.7729,0.1038,77.2875,10.384,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",22.7125,1.09289795918367,0.2618,10.5,0.5,"measured",1997.31,1.142,1994.52,2000.19,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.1,1996.05,1998.15,"fish",1,1994.4,2000.19,-2.45714285714286,-2.21333333333333,-0.243809523809524,-0.632820512820513,-0.243809523809524,NA,1.78780820136765,4.01417062168382,-2.22636242031618,3.94631418936765,-2.158505988,4.413030268,-2.158505988,"WY","Black Rock - WY"
"10","BLRO20_5","WIND20_BLRO20_1A_1G_5","WIND20","BLRO20","Black Rock","1A","1G",4.5,5,4.75,"",3.4554,0.0838,5.169,0.128,73.126,1.219,31.542,0.48,0.675,25.713,0.487,32.23,1.08,1988.4,1991.4,0.0239,5e-04,0.291,"y",2.1241283,-25.1362814,NA,0.388914686,3.475095494,NA,8.935367119,2.170626524,2.170626524,"CN","2022","LinCorr calculated and used in the d15N column","WIND20_BLRO20_1A_1G",13,10,5.43661,5.96544,5.56817,5.55445,0.49,0.52883,0.13156,0.11784,0.7512,0.1043,75.1224,10.4287,"100C","","WIND20_BLRO20_1A_1G","Wind River","Wyoming","Rocky Mountain",1,"Salvelinus fontinalis, Oncorhynchus clarkii","BKT, CUT",1974,"1974","1974","","","","","Unlikely","y","SRC and BKT observed in lake in 2005. SRC stocked in 1974. Snake river cutthroat. Previous notes: Golden trout in 1986 (but stocking records stop at 1985), from Annika/Katie notes: high BKT (documented 2004), low SRC (last stocked 1974, 3 caught in 2016 sampling))",NA,42.641658,-108.997408,10813.6,3296,51578,1356,44608,16.5,7.27,12.9,NA,9.98,41.18,5.1,28.2,8.6,"17-Jul-19","5-Aug-20",2020,"in reach","area, elevation, temp, ph conductivity, DO, fish species all from lindsey in 2019. ",24.8776,1.07924489795918,0.291,10.5,0.5,"measured",1991.34,1.084,1988.2,1994.52,0.0157666666666667,0.00463333333333333,0.0204,0.0111333333333333,14.006,1873.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991.4,1990.32,1992.48,"fish",1,1988.4,1994.4,-2.6,-2.21333333333333,-0.386666666666667,-0.632820512820513,-0.386666666666667,NA,2.170626524,4.01417062168382,-1.84354409768382,3.94631418936765,-1.77568766536765,4.413030268,-2.242403744,"WY","Black Rock - WY"
