"","lake_name","lagoslakeid","hu12_zoneid","mean_n_dep_kgperha","state"
"1","Monogram",472235,"hu12_74200",3.25954453326667,"WA"
"2","Crescent",471668,"hu12_74350",3.45898367619444,"WA"
"3","Louise",467771,"hu12_72974",3.23217462372778,"WA"
"4","Soldier",479274,"hu12_58819",5.01939198902778,"CA"
"5","Skelton",479285,"hu12_58821",4.85085610285,"CA"
"6","Middle Gaylor",479617,"hu12_58816",5.06215787394444,"CA"
"7","Bullfrog",478082,"hu12_58529",7.08224180096667,"CA"
"8","Lost",359043,"hu12_62986",4.4793340116,"WY"
"9","Scott",359043,"hu12_62986",4.4793340116,"WY"
"10","Canyon",326556,"hu12_59660",4.41583757207222,"WY"
"11","Black Rock",326417,"hu12_59660",4.41583757207222,"WY"
"12","Lightninig",327188,"hu12_59660",4.41583757207222,"WY"
"13","Eyrie",327187,"hu12_59660",4.41583757207222,"WY"
"14","Footprint",326235,"hu12_59660",4.41583757207222,"WY"
