"","mean_air_temp_degC_anomaly_combined","d15N_anomaly_mean_1800_1850","fish_present_binary","lake_name","taxonomic_group","mid_cm","fish","trophic_level","date_mid_AD_combo","state","time_seq","abundance","trophic_level_tax_group"
"1",-0.632820512820513,-0.0678564323161766,0,"Black Rock","Cercozoa",16.25,1,"Heterotrophic protists",1708.12,"Wyoming",1,0.304327151688065,"Heterotrophic protists - Cercozoa"
"2",-0.632820512820513,0.0559055663161763,0,"Black Rock","Cercozoa",15.75,1,"Heterotrophic protists",1721.05,"Wyoming",2,0.311467673430864,"Heterotrophic protists - Cercozoa"
"3",-0.632820512820513,-0.324136841316177,0,"Black Rock","Cercozoa",15.25,1,"Heterotrophic protists",1733.75,"Wyoming",3,0.331247206079571,"Heterotrophic protists - Cercozoa"
"4",-0.632820512820513,0.160656982316176,0,"Black Rock","Cercozoa",14.75,1,"Heterotrophic protists",1746.85,"Wyoming",4,0.388108108108108,"Heterotrophic protists - Cercozoa"
"5",-0.632820512820513,-0.155895768316176,0,"Black Rock","Cercozoa",14.25,1,"Heterotrophic protists",1759.84,"Wyoming",5,0.444344703770197,"Heterotrophic protists - Cercozoa"
"6",-0.632820512820513,0.125286374316176,0,"Black Rock","Cercozoa",13.75,1,"Heterotrophic protists",1772.93,"Wyoming",6,0.251644167532018,"Heterotrophic protists - Cercozoa"
"7",-0.632820512820513,-0.179509435316176,0,"Black Rock","Cercozoa",13.25,1,"Heterotrophic protists",1786.2,"Wyoming",7,0.346067415730337,"Heterotrophic protists - Cercozoa"
"8",-0.632820512820513,0.195507434316176,0,"Black Rock","Cercozoa",12.75,1,"Heterotrophic protists",1800.27,"Wyoming",8,0.356541268950028,"Heterotrophic protists - Cercozoa"
"9",-0.632820512820513,-0.483884660316177,0,"Black Rock","Cercozoa",12.25,1,"Heterotrophic protists",1814.6,"Wyoming",9,0.305033353547605,"Heterotrophic protists - Cercozoa"
"10",-0.632820512820513,0.0449022663161767,0,"Black Rock","Cercozoa",11.75,1,"Heterotrophic protists",1829.56,"Wyoming",10,0.276524644945698,"Heterotrophic protists - Cercozoa"
"11",-0.632820512820513,0.243474959683823,0,"Black Rock","Cercozoa",11.25,1,"Heterotrophic protists",1844.15,"Wyoming",11,0.453996983408748,"Heterotrophic protists - Cercozoa"
"12",-0.632820512820513,0.182863642316176,0,"Black Rock","Cercozoa",10.75,1,"Heterotrophic protists",1858.57,"Wyoming",12,0.310187531677648,"Heterotrophic protists - Cercozoa"
"13",-0.632820512820513,-0.397580288316177,0,"Black Rock","Cercozoa",10.25,1,"Heterotrophic protists",1873.1,"Wyoming",13,0.361904761904762,"Heterotrophic protists - Cercozoa"
"14",-0.632820512820513,-0.374983661683824,0,"Black Rock","Cercozoa",9.75,1,"Heterotrophic protists",1887.9,"Wyoming",14,0.340562990309183,"Heterotrophic protists - Cercozoa"
"15",-0.632820512820513,-0.281788640316177,0,"Black Rock","Cercozoa",9.25,1,"Heterotrophic protists",1902.1,"Wyoming",15,0.386626660951565,"Heterotrophic protists - Cercozoa"
"16",-0.911666666666667,-0.566021512683824,0,"Black Rock","Cercozoa",8.75,1,"Heterotrophic protists",1913.6,"Wyoming",16,0.349434290687554,"Heterotrophic protists - Cercozoa"
