"","trophic_level","taxa","fish","term","Value","Std.Error","DF","t.value","p.value"
"1","Phytoplankton","Chlorophyta","Fishless","Air temperature",-0.0850895042711359,0.0302805783329645,218,-2.81003563853682,0.0054042605662636
"2","Phytoplankton","Chlorophyta","Fishless","Nitrogen deposition",-0.0614683833842744,0.0229520796032512,218,-2.67811825537445,0.00796764024653636
"3","Phytoplankton","Chlorophyta","Fish","Air temperature",-0.00108098526292738,0.0131754608059079,355,-0.0820453476999197,0.934656891200631
"4","Phytoplankton","Chlorophyta","Fish","Fish",-0.104015354267385,0.0234443587380522,355,-4.43669009801319,1.22045346230222e-05
"5","Phytoplankton","Chlorophyta","Fish","Nitrogen deposition",-0.0289721081447507,0.0113038761078913,355,-2.56302421118409,0.0107880160721602
"6","Phytoplankton","Dinoflagellata","Fishless","Air temperature",0.00795746521114567,0.0175996769975914,218,0.452137002982196,0.651619846898964
"7","Phytoplankton","Dinoflagellata","Fishless","Nitrogen deposition",0.0462077567633857,0.0128351152197245,218,3.60010455475893,0.00039379843905181
"8","Phytoplankton","Dinoflagellata","Fish","Air temperature",0.00656366701325893,0.0166447798027462,355,0.394337869953436,0.693568390257254
"9","Phytoplankton","Dinoflagellata","Fish","Fish",0.0164469639855434,0.030474091891242,355,0.539703169638012,0.589740114120032
"10","Phytoplankton","Dinoflagellata","Fish","Nitrogen deposition",0.06324045831193,0.0145071069815109,355,4.35927427794729,1.71142845923039e-05
"11","Phytoplankton","Gyrista","Fishless","Air temperature",0.0781500542966779,0.0228166767362588,218,3.425128698628,0.000734176836953606
"12","Phytoplankton","Gyrista","Fishless","Nitrogen deposition",0.0363277015328879,0.0199585066655957,218,1.82016130472874,0.0701057727225762
"13","Phytoplankton","Gyrista","Fish","Air temperature",-0.0032242926133553,0.0177607326808319,355,-0.181540518136117,0.856046940749944
"14","Phytoplankton","Gyrista","Fish","Fish",0.0852509196940837,0.0299452203295178,355,2.84689572345706,0.004671477918953
"15","Phytoplankton","Gyrista","Fish","Nitrogen deposition",0.00623624443892234,0.0145386149776164,355,0.428943503113855,0.668224517059758
"16","Phytoplankton","Streptophyta","Fishless","Air temperature",-0.00883105410238213,0.0270248489274149,218,-0.326775336509786,0.744151342190729
"17","Phytoplankton","Streptophyta","Fishless","Nitrogen deposition",-0.0415215245350863,0.0201752938636403,218,-2.05803815377956,0.0407758619842895
"18","Phytoplankton","Streptophyta","Fish","Air temperature",0.00175261053883705,0.0140325971979208,355,0.124895663583698,0.900676844857184
"19","Phytoplankton","Streptophyta","Fish","Fish",-0.0392056770659125,0.0211263987343632,355,-1.85576716405255,0.0643153188647496
"20","Phytoplankton","Streptophyta","Fish","Nitrogen deposition",-0.031972899213513,0.0106257954928876,355,-3.00898876088046,0.00280843259930126
"21","Heterotrophic protists and rotifers","Cercozoa","Fishless","Air temperature",-0.00983134428672704,0.0201651793805049,218,-0.487540631363373,0.626365178645123
"22","Heterotrophic protists and rotifers","Cercozoa","Fishless","Nitrogen deposition",0.0161238635603206,0.0154248581750537,218,1.04531681117155,0.297034252264501
"23","Heterotrophic protists and rotifers","Cercozoa","Fish","Air temperature",0.00246534990180172,0.00986801307448853,355,0.249832451902127,0.802861426749034
