"","term","Value","Std.Error","DF","t.value","p.value","taxa","pval0.5"
"1","Mean annual air
temperature (deg C)",0.0104648586014011,0.00252543362401946,190,4.14378683401914,5.13944009032766e-05,"Apicomplexa","Yes"
"2","d15N",-0.00605146499187485,0.00444981308397578,190,-1.3599368957017,0.175461386226487,"Apicomplexa","No"
"3","Fish presence",0.00519749926907547,0.0101125001406448,190,0.513967782129894,0.607871748378334,"Apicomplexa","No"
"4","Mean annual air
temperature (deg C)",-0.00517669174446505,0.00903663323810313,190,-0.572856240600475,0.567419338778272,"Cercozoa","No"
"5","d15N",-0.030244913293924,0.0117106034767466,190,-2.58269467956799,0.0105551563901005,"Cercozoa","Yes"
"6","Fish presence",0.018623628220842,0.022948079794533,190,0.81155497050689,0.418062552930574,"Cercozoa","No"
"7","Mean annual air
temperature (deg C)",-0.00704562319028387,0.00691619322176038,190,-1.01871404750756,0.30963414724404,"Chrompodellids","No"
"8","d15N",-0.0124107733055628,0.00940278614886901,190,-1.31990381457901,0.188455177441117,"Chrompodellids","No"
"9","Fish presence",-0.00551602496907279,0.021369900890896,190,-0.258121223735891,0.796592730539967,"Chrompodellids","No"
"10","Mean annual air
temperature (deg C)",-0.00014003965441477,0.00946407833638914,190,-0.014796966956235,0.988209685313987,"Ciliophora","No"
"11","d15N",0.0106670603612369,0.0105092682760965,190,1.01501456438212,0.311389671479662,"Ciliophora","No"
"12","Fish presence",0.00115956598094201,0.0271962203826437,190,0.0426370269334201,0.966035652419981,"Ciliophora","No"
"13","Mean annual air
temperature (deg C)",-0.0023684006513732,0.0104107803790955,190,-0.227495016236137,0.820283454923076,"Dinoflagellata","No"
"14","d15N",0.0635478374173916,0.014145800897087,190,4.49234637753722,1.22127885693245e-05,"Dinoflagellata","Yes"
"15","Fish presence",0.0163700594119866,0.027749303852647,190,0.58992685001808,0.555940600713714,"Dinoflagellata","No"
"16","Mean annual air
temperature (deg C)",-0.0021994707060543,0.00433793442161461,190,-0.507031801839836,0.612720458427208,"Evosea","No"
"17","d15N",-0.00676172887795438,0.00552771649402715,190,-1.22324089617487,0.222753685717071,"Evosea","No"
"18","Fish presence",-0.00894857649232191,0.0121969043091866,190,-0.733676043156453,0.464050538958096,"Evosea","No"
"19","Mean annual air
temperature (deg C)",0.00867130709101928,0.00855433735151771,190,1.01367373470264,0.312027568787387,"Perkinsea","No"
"20","d15N",-0.0091135976420174,0.0122687731373748,190,-0.742828768612104,0.458502788141042,"Perkinsea","No"
"21","Fish presence",-0.00982428604261191,0.0247657664553195,190,-0.396688148551192,0.692042632816102,"Perkinsea","No"
