"","sample_id","MDS1","MDS2","d15N_anomaly_mean_1800_1850","mean_air_temp_degC_anomaly_combined","fish_present_binary_YN"
"1","BLRO20_0.5",-0.658542042863759,-1.16702086649827,-2.89605142168382,0.613333333333333,"Yes"
"2","BLRO20_1",-0.614255827347027,-0.921973708848321,-2.95418421968382,0.313333333333333,"Yes"
"3","BLRO20_1.5",-0.533928157241107,-0.753365535935845,-3.97928270031618,0.363333333333333,"Yes"
"4","BLRO20_10",-0.314927528919696,0.169421226506163,-0.374983661683824,-0.632820512820513,"No"
"5","BLRO20_10.5",-0.696335656256865,0.686721707215655,-0.397580288316177,-0.632820512820513,"No"
"6","BLRO20_11",-0.305576874879802,0.32531438008826,0.182863642316176,-0.632820512820513,"No"
"7","BLRO20_11.5",-0.512826943651131,0.608649906403732,0.243474959683823,-0.632820512820513,"No"
"8","BLRO20_12",-0.299247816609712,0.446148021693649,0.0449022663161767,-0.632820512820513,"No"
"9","BLRO20_12.5",-0.404985091854654,0.752046896329468,-0.483884660316177,-0.632820512820513,"No"
"10","BLRO20_13",-0.361802225366751,0.416524791552982,0.195507434316176,-0.632820512820513,"No"
"11","BLRO20_13.5",-0.336331368143596,0.652067007471807,-0.179509435316176,-0.632820512820513,"No"
"12","BLRO20_14",-0.41607921667371,0.556934951030021,0.125286374316176,-0.632820512820513,"No"
"13","BLRO20_14.5",-0.27541424166337,0.842946700662391,-0.155895768316176,-0.632820512820513,"No"
"14","BLRO20_15",-0.501998461030493,0.515342525953746,0.160656982316176,-0.632820512820513,"No"
"15","BLRO20_15.5",-0.33946333530966,0.618631664739255,-0.324136841316177,-0.632820512820513,"No"
"16","BLRO20_16",-0.260081479226629,0.362367233573862,0.0559055663161763,-0.632820512820513,"No"
"17","BLRO20_16.5",-0.386377045207842,0.569583185602484,-0.0678564323161766,-0.632820512820513,"No"
"18","BLRO20_2",-0.510619752317389,-0.647775183537917,-3.06610787568382,1.18833333333333,"Yes"
"19","BLRO20_2.5",-0.500225308174146,-0.588514393075521,-3.21904370031618,1.01333333333333,"Yes"
"20","BLRO20_3",-0.440780031082916,-0.616910165251469,-2.67608959168382,0.413333333333333,"Yes"
"21","BLRO20_3.5",-0.541286677095747,-0.537334171189322,-2.78447870031618,0.463333333333333,"Yes"
"22","BLRO20_4",-0.442262192056253,-0.371361662055342,-2.40213598468382,0.393333333333333,"Yes"
