PRISM Time Series Data
Locations: 14
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1895 - 2021
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Apr-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmean (degrees C)
Lost,-106.2693,41.3736,3258,1895,1371.72,-1.5
Lost,-106.2693,41.3736,3258,1896,995.38,-0.3
Lost,-106.2693,41.3736,3258,1897,1087.98,-0.7
Lost,-106.2693,41.3736,3258,1898,775.62,-1.2
Lost,-106.2693,41.3736,3258,1899,1025.12,-1.2
Lost,-106.2693,41.3736,3258,1900,870.25,0.4
Lost,-106.2693,41.3736,3258,1901,778.33,-0.3
Lost,-106.2693,41.3736,3258,1902,550.02,-0.3
Lost,-106.2693,41.3736,3258,1903,793.40,-1.3
Lost,-106.2693,41.3736,3258,1904,847.93,-0.2
Lost,-106.2693,41.3736,3258,1905,1356.59,-1.4
Lost,-106.2693,41.3736,3258,1906,1065.22,-0.9
Lost,-106.2693,41.3736,3258,1907,928.19,-0.3
Lost,-106.2693,41.3736,3258,1908,1015.93,-0.8
Lost,-106.2693,41.3736,3258,1909,1276.24,-1.0
Lost,-106.2693,41.3736,3258,1910,606.15,0.6
Lost,-106.2693,41.3736,3258,1911,666.84,-0.6
Lost,-106.2693,41.3736,3258,1912,632.90,-1.5
Lost,-106.2693,41.3736,3258,1913,948.22,-0.8
Lost,-106.2693,41.3736,3258,1914,853.53,0.3
Lost,-106.2693,41.3736,3258,1915,948.83,-0.4
Lost,-106.2693,41.3736,3258,1916,1265.50,-0.9
Lost,-106.2693,41.3736,3258,1917,1130.33,-1.3
Lost,-106.2693,41.3736,3258,1918,1225.76,-0.6
Lost,-106.2693,41.3736,3258,1919,708.60,0.2
Lost,-106.2693,41.3736,3258,1920,878.57,-1.2
Lost,-106.2693,41.3736,3258,1921,986.53,0.5
Lost,-106.2693,41.3736,3258,1922,1169.99,-1.0
Lost,-106.2693,41.3736,3258,1923,1029.37,-1.2
Lost,-106.2693,41.3736,3258,1924,770.99,-1.2
Lost,-106.2693,41.3736,3258,1925,656.36,-0.2
Lost,-106.2693,41.3736,3258,1926,990.83,-0.4
Lost,-106.2693,41.3736,3258,1927,1217.98,-0.6
