"","term","Value","Std.Error","DF","t.value","p.value","taxa","pval0.5"
"1","Mean annual air temperature
anomaly (deg C)",0.00147512513796365,0.0100104991380061,574,0.147357800807669,0.882901355842118,"Cercozoa","No"
"2","d15N",-0.0165381975143768,0.00721933857772276,574,-2.290818935326,0.0223354598000622,"Cercozoa","Yes"
"3","Fish presence",-0.0137635189074865,0.0181447905926782,574,-0.758538316393708,0.448440124737248,"Cercozoa","No"
"4","Mean annual air temperature
anomaly (deg C)",0.0099536593331748,0.0133896579871247,574,0.743384135931337,0.457553302134445,"Ciliophora","No"
"5","d15N",0.000641008920010844,0.00900615941691116,574,0.0711745029526349,0.943283664519015,"Ciliophora","No"
"6","Fish presence",0.0415555056241637,0.0217838054215829,574,1.90763297871691,0.0569374248574085,"Ciliophora","No"
"7","Mean annual air temperature
anomaly (deg C)",-0.000410335496214678,0.00871332074620695,574,-0.0470928946800568,0.962455570100995,"Dinoflagellata","No"
"8","d15N",0.025477395768315,0.00696272219848699,574,3.65911421453111,0.000276410086471619,"Dinoflagellata","Yes"
"9","Fish presence",0.0496568348743198,0.0176373544256296,574,2.81543556227238,0.00503841738365995,"Dinoflagellata","Yes"
"10","Mean annual air temperature
anomaly (deg C)",0.00240723966548643,0.00436499085842306,574,0.55148790537355,0.58151387137333,"Evosea","No"
"11","d15N",-0.00105956954112459,0.00319250761212816,574,-0.331892565298619,0.74009153518221,"Evosea","No"
"12","Fish presence",-0.00793086920847689,0.00805553061901348,574,-0.984524742511392,0.325272371934498,"Evosea","No"
"13","Mean annual air temperature
anomaly (deg C)",-0.01421266015196,0.0134885545234055,574,-1.05368296708873,0.292471421580947,"Rotifera","No"
"14","d15N",0.0204235400750028,0.00999086834783755,574,2.04422071875498,0.0413875168909159,"Rotifera","Yes"
"15","Fish presence",-0.0552884093579422,0.0252868113120434,574,-2.18645240302046,0.0291855692597766,"Rotifera","Yes"
