"","term","Value","Std.Error","DF","t.value","p.value","taxa","fish","pval0.5"
"1","Mean annual air temperature
anomaly (deg C)",-0.0880611640125345,0.0303625976115622,250,-2.90031719746536,0.00405966433655752,"Chlorophyta","Fishless","Yes"
"2","d15N",0.0711408759269896,0.0231437369324433,250,3.07387161090925,0.00234720847756811,"Chlorophyta","Fishless","Yes"
"3","Mean annual air temperature
anomaly (deg C)",0.0114444488187515,0.0110631474622523,250,1.03446590202293,0.301918027173777,"Dinoflagellata","Fishless","No"
"4","d15N",-0.0295663607126879,0.00974543815362824,250,-3.03386674324954,0.00266902726089923,"Dinoflagellata","Fishless","Yes"
"5","Mean annual air temperature
anomaly (deg C)",0.0689114084870759,0.0191608613981434,250,3.59646714493498,0.000388649154933002,"Gyrista","Fishless","Yes"
"6","d15N",-0.0314920710868919,0.0190665151865693,250,-1.65169517233413,0.0998521691555604,"Gyrista","Fishless","No"
"7","Mean annual air temperature
anomaly (deg C)",-0.00832285411430483,0.0259473266088535,250,-0.320759600392319,0.748660538799707,"Streptophyta","Fishless","No"
"8","d15N",0.0493088040605575,0.0203733585944824,250,2.42025897850301,0.0162230434646825,"Streptophyta","Fishless","Yes"
"9","Mean annual air temperature
anomaly (deg C)",-0.00551252087919091,0.0149427320105361,322,-0.368909840269104,0.712437375881501,"Chlorophyta","Fish","No"
"10","d15N",0.0172072834920291,0.0131897183773173,322,1.30459824840695,0.192961327367215,"Chlorophyta","Fish","No"
"11","Fish presence",-0.0590393169939927,0.0291787680737396,322,-2.02336564877553,0.0438612443766905,"Chlorophyta","Fish","Yes"
"12","Mean annual air temperature
anomaly (deg C)",-0.00135044065591329,0.0150840741722178,322,-0.0895275799160789,0.928718295244092,"Dinoflagellata","Fish","No"
"13","d15N",-0.0413898933226174,0.0129854745810041,322,-3.18739935644439,0.00157644476376467,"Dinoflagellata","Fish","Yes"
"14","Fish presence",0.017396187260851,0.0290725763222208,322,0.598371023883242,0.550013054902307,"Dinoflagellata","Fish","No"
"15","Mean annual air temperature
anomaly (deg C)",0.0113751925422192,0.0196915481021727,322,0.577668778665712,0.56389147593574,"Gyrista","Fish","No"
"16","d15N",-0.0362658098268892,0.0158586389458839,322,-2.28681729564831,0.0228551148335621,"Gyrista","Fish","Yes"
"17","Fish presence",0.0633915114992344,0.0344945561561583,322,1.83772509529499,0.0670241086708788,"Gyrista","Fish","No"
"18","Mean annual air temperature
anomaly (deg C)",0.00236283009001505,0.0167709226420319,322,0.140888497338437,0.888046124847902,"Streptophyta","Fish","No"
"19","d15N",0.0355423971563194,0.0123823619857643,322,2.87040527463029,0.00437075819777888,"Streptophyta","Fish","Yes"
"20","Fish presence",-0.0471170043984192,0.0257127379237523,322,-1.83243824668296,0.0678095077163801,"Streptophyta","Fish","No"
