"","term","Value","Std.Error","DF","t.value","p.value","taxa","fish","pval0.05"
"1","Air temperature",-0.0943379603829761,0.0366985194653616,217,-2.5706203344802,0.0108207070843117,"Chlorophyta","Fishless","Yes"
"2","Nitrogen deposition",-0.0657805982605766,0.0244240334452739,217,-2.69327334520603,0.00762821029008531,"Chlorophyta","Fishless","Yes"
"3","Air temperature X
nitrogen deposition",0.00792532103803163,0.0177139489038737,217,0.447405662116284,0.6550284621296,"Chlorophyta","Fishless","No"
"4","Air temperature",0.0407795201841161,0.020835542605836,217,1.95720941640818,0.0516051439689178,"Dinoflagellata","Fishless","No"
"5","Nitrogen deposition",0.0607340665614261,0.0128034472011159,217,4.74357144661267,3.80465593338116e-06,"Dinoflagellata","Fishless","Yes"
"6","Air temperature X
nitrogen deposition",-0.0281290214668597,0.00972277411242888,217,-2.89310654979649,0.00420329927682003,"Dinoflagellata","Fishless","Yes"
"7","Air temperature",0.0766527277357766,0.0277817188612454,217,2.75910673916958,0.00629096546314651,"Gyrista","Fishless","Yes"
"8","Nitrogen deposition",0.0354646869839502,0.0214627075335181,217,1.65238644418768,0.099901945268788,"Gyrista","Fishless","No"
"9","Air temperature X
nitrogen deposition",0.00126905598768469,0.0138419957329454,217,0.0916815762819671,0.927035614094178,"Gyrista","Fishless","No"
"10","Air temperature",-0.0270245848826412,0.032986147314173,217,-0.819270726746244,0.413530840503439,"Streptophyta","Fishless","No"
"11","Nitrogen deposition",-0.0484926164120596,0.0214539690187902,217,-2.2603097995335,0.0247944408846959,"Streptophyta","Fishless","Yes"
"12","Air temperature X
nitrogen deposition",0.015410173172311,0.0160129963185185,217,0.962354131967771,0.336942886234332,"Streptophyta","Fishless","No"
"13","Air temperature",-0.0833994056166135,0.0478360358262543,351,-1.7434430795965,0.0821318257179326,"Chlorophyta","Fish","No"
"14","Nitrogen deposition",-0.00919527726525596,0.0209935420949573,351,-0.438005040962797,0.661652050389743,"Chlorophyta","Fish","No"
"15","Fish",-0.100256412303827,0.027261564307556,351,-3.67757371414081,0.000272338193095783,"Chlorophyta","Fish","Yes"
"16","Air temperature X
nitrogen deposition",0.0861138962576463,0.0485239494245056,351,1.77466791716168,0.0768194037788476,"Chlorophyta","Fish","No"
"17","Fish X
air temperature",0.102449815902005,0.0536825124414593,351,1.90843928949351,0.0571499687733359,"Chlorophyta","Fish","No"
"18","Fish X
nitrogen deposition",-0.0136945058007545,0.025578650963476,351,-0.535388118017212,0.592720549714523,"Chlorophyta","Fish","No"
"19","Fish X
air temeprature X
nitrogen deposition",-0.0981128301348957,0.0504032111161423,351,-1.94655911721215,0.0523851242241223,"Chlorophyta","Fish","No"
"20","Air temperature",0.0216344238991867,0.0576638468169481,351,0.375181766278349,0.707751894958782,"Dinoflagellata","Fish","No"
"21","Nitrogen deposition",0.0910782248126144,0.0269734377922347,351,3.37658942527654,0.000816137441328579,"Dinoflagellata","Fish","Yes"
"22","Fish",0.040724454784847,0.0358954515384112,351,1.13452966990172,0.257346633485174,"Dinoflagellata","Fish","No"
"23","Air temperature X
nitrogen deposition",-0.0255527105835392,0.0608003143580049,351,-0.420272672162179,0.674543434882997,"Dinoflagellata","Fish","No"
"24","Fish X
air temperature",-0.00626015490946142,0.0651045696278416,351,-0.0961553842571489,0.923452040406156,"Dinoflagellata","Fish","No"
"25","Fish X
nitrogen deposition",-0.0382890898301619,0.0330504675008958,351,-1.15850372855162,0.247446138149849,"Dinoflagellata","Fish","No"
"26","Fish X
air temeprature X
nitrogen deposition",0.0212058241639478,0.0628453112223614,351,0.337428898854787,0.73599529587241,"Dinoflagellata","Fish","No"
"27","Air temperature",0.115747190269514,0.0584641399106641,351,1.97979805135901,0.0485069837873589,"Gyrista","Fish","Yes"
"28","Nitrogen deposition",-0.000651656196510482,0.0281472048491808,351,-0.0231517196823701,0.981542406183678,"Gyrista","Fish","No"
"29","Fish",0.0821519517169425,0.0349091334365818,351,2.35330825000812,0.0191582505297092,"Gyrista","Fish","Yes"
"30","Air temperature X
nitrogen deposition",-0.0625598770741845,0.0646545667067747,351,-0.967601830167849,0.333909493180746,"Gyrista","Fish","No"
"31","Fish X
air temperature",-0.14547478599327,0.0667004923314019,351,-2.18101517557738,0.0298455857620972,"Gyrista","Fish","Yes"
"32","Fish X
nitrogen deposition",-0.00470859838339444,0.03410275422519,351,-0.138070912170385,0.890263547734486,"Gyrista","Fish","No"
"33","Fish X
air temeprature X
nitrogen deposition",0.0749030440391079,0.0670542504365012,351,1.11705139572083,0.264736395525031,"Gyrista","Fish","No"
"34","Air temperature",-0.0379650866270396,0.0427068098125395,351,-0.88897032566203,0.374627849518548,"Streptophyta","Fish","No"
"35","Nitrogen deposition",-0.0764678689828153,0.0218472139180008,351,-3.50011993610821,0.000524972875786942,"Streptophyta","Fish","Yes"
"36","Fish",-0.0519733057741699,0.0254808554051193,351,-2.0397001963964,0.042128552607351,"Streptophyta","Fish","Yes"
"37","Air temperature X
nitrogen deposition",-0.00449703456156506,0.0511121938129637,351,-0.0879835950305946,0.929939889753326,"Streptophyta","Fish","No"
"38","Fish X
air temperature",0.0208180669688229,0.0493481478896076,351,0.421861161140093,0.673384616607343,"Streptophyta","Fish","No"
"39","Fish X
nitrogen deposition",0.0471572558982358,0.0261624480706383,351,1.80247871953388,0.0723278325909981,"Streptophyta","Fish","No"
"40","Fish X
air temeprature X
nitrogen deposition",0.01698310115039,0.0529986069362923,351,0.32044429339067,0.748822235567983,"Streptophyta","Fish","No"
