"","term","Value","Std.Error","DF","t.value","p.value","taxa","pval0.5"
"1","Mean annual air temperature
anomaly (deg C)",-0.00121723592394739,0.00260008641215629,574,-0.46815210381332,0.639853531305812,"Bosmina","No"
"2","d15N",0.0050665262299101,0.00214909077118519,574,2.35752081663633,0.0187320702963124,"Bosmina","Yes"
"3","Fish presence",0.00321693769713035,0.00540338521192188,574,0.595355979809212,0.551840188902888,"Bosmina","No"
"4","Mean annual air temperature
anomaly (deg C)",0.0208981748248823,0.0050199189325598,574,4.1630502614961,3.62234983462477e-05,"Chydoridae","Yes"
"5","d15N",0.00302659721558592,0.00310639053390382,574,0.97431317233071,0.330311479727963,"Chydoridae","No"
"6","Fish presence",0.00287884089730384,0.00699301896237721,574,0.411673543685803,0.68073239354333,"Chydoridae","No"
"7","Mean annual air temperature
anomaly (deg C)",0.00637694756505802,0.00792342146003518,574,0.804822461763849,0.421255366148784,"Cyclopidae","No"
"8","d15N",0.00243847165001403,0.00562906865249211,574,0.433192735877269,0.665037490461992,"Cyclopidae","No"
"9","Fish presence",0.0321040313695061,0.014215871593299,574,2.25832311151707,0.0243001438583967,"Cyclopidae","Yes"
"10","Mean annual air temperature
anomaly (deg C)",0.00404460383077987,0.00653613968495181,574,0.618806210658531,0.536289522791209,"Daphnia pulex","No"
"11","d15N",0.0102400645407783,0.00477335266598098,574,2.14525622918202,0.0323512776928865,"Daphnia pulex","Yes"
"12","Fish presence",0.00499880012866315,0.0121036660724575,574,0.412998846691431,0.67976168779628,"Daphnia pulex","No"
"13","Mean annual air temperature
anomaly (deg C)",-0.0117820365863652,0.0135753957815829,574,-0.867896360145123,0.385813768279096,"Daphnia sp.","No"
"14","d15N",0.012841144077554,0.0104861305221445,574,1.22458365842731,0.221234458558715,"Daphnia sp.","No"
"15","Fish presence",0.123245026663728,0.0266401731548423,574,4.62628474474933,4.60506151196647e-06,"Daphnia sp.","Yes"
"16","Mean annual air temperature
anomaly (deg C)",-0.0133307139873196,0.024260094301175,574,-0.549491433208237,0.582881955537377,"Hesperodiaptomus","No"
"17","d15N",-0.0416771199896691,0.0170083473159115,574,-2.45039210545046,0.014567486315403,"Hesperodiaptomus","Yes"
"18","Fish presence",-0.293050349080057,0.042238998515838,574,-6.93790950015481,1.07732096887471e-11,"Hesperodiaptomus","Yes"
"19","Mean annual air temperature
anomaly (deg C)",-0.00863382327393926,0.017794693148077,574,-0.485190905068923,0.62772605479406,"Holopedium","No"
"20","d15N",0.00084268894413384,0.0122629892897694,574,0.0687180689978149,0.94523796642925,"Holopedium","No"
"21","Fish presence",0.109176688922682,0.0301686012642628,574,3.61888467968223,0.00032199520368048,"Holopedium","Yes"
"22","Mean annual air temperature
anomaly (deg C)",0.0166198866722558,0.0126768171870847,574,1.31104570074485,0.190366564533696,"Leptodiaptomus","No"
"23","d15N",-0.0125722891955077,0.00948884271748471,574,-1.32495495708252,0.185713286463757,"Leptodiaptomus","No"
"24","Fish presence",-0.0293187322463443,0.0240893453353835,574,-1.21708298163171,0.224072799634028,"Leptodiaptomus","No"
