"","asv_code","domain","supergroup","division","subdivision","class","order","family","genus","species","trophic_mode"
"1","ZOTU-V9_10","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Maxillopoda_X","Maxillopoda_X_sp.","heterotrophs"
"2","ZOTU-V9_1000","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Unassigned","Unassigned","parasites"
"3","ZOTU-V9_10003","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4","ZOTU-V9_10007","Eukaryota","Amoebozoa","Evosea","Evosea_X","Variosea","Variosea_X","WIM1-lineage","WIM1-lineage_X","WIM1-lineage_X_sp.","heterotrophs"
"5","ZOTU-V9_10008","Eukaryota","TSAR","Rhizaria","Cercozoa","Sainouroidea","Sainouroidea_X","Guttulinopsidae","Guttulinopsis","Unassigned",NA
"6","ZOTU-V9_1001","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum_sp.",NA
"7","ZOTU-V9_10015","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Chlorotetraedron","Chlorotetraedron_incus","phototrophs"
"8","ZOTU-V9_10019","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"9","ZOTU-V9_10023","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Euglenophyceae","Unassigned","Unassigned","Unassigned","phototrophs"
"10","ZOTU-V9_10025","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Dolichomastigales","Crustomastigaceae","Crustomastigaceae-AB","Crustomastigaceae-AB_sp.","phototrophs"
"11","ZOTU-V9_10037","Eukaryota","TSAR","Rhizaria","Cercozoa","Endomyxa","Vampyrellida","Thalassomyxa-lineage","Thalassomyxa","Thalassomyxa_sp.","heterotrophs"
"12","ZOTU-V9_10038","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Unassigned","Unassigned","phototrophs"
"13","ZOTU-V9_10039","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Petalomonadida","Eupetalomonads_X","Eupetalomonads_XX","Eupetalomonads_XX_sp.",NA
"14","ZOTU-V9_10044","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Petalomonadida","Eupetalomonads_X","Eupetalomonads_XX","Eupetalomonads_XX_sp.",NA
"15","ZOTU-V9_10046","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Unassigned","Unassigned","heterotrophs"
"16","ZOTU-V9_10049","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp.","saprotrophs/parasites"
"17","ZOTU-V9_10052","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Rhizopogon","Rhizopogon_vulgaris","symbiotrophs"
"18","ZOTU-V9_10053","Eukaryota","Excavata","Discoba","Discoba_X","Heterolobosea","Heterolobosea_X","Creneidae","Creneis","Creneis_carolina","heterotrophs"
"19","ZOTU-V9_10059","Eukaryota","TSAR","Alveolata","Ciliophora","Litostomatea","Litostomatea_X","Litostomatea_XX","Spathidium","Spathidium_stammeri","heterotrophs"
"20","ZOTU-V9_10063","Eukaryota","Amoebozoa","Tubulinea","Tubulinea_X","Elardia","Arcellinida","Phryganellina","Cryptodifflugia","Unassigned","heterotrophs"
"21","ZOTU-V9_10068","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp.","saprotrophs/parasites"
"22","ZOTU-V9_10069","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Cercomonadida","Unassigned","Unassigned","Unassigned","heterotrophs"
"23","ZOTU-V9_10075","Eukaryota","TSAR","Alveolata","Ciliophora","Prostomatea_3","Prostomatea_3_X","Holophryidae","Unassigned","Unassigned","heterotrophs"
"24","ZOTU-V9_10076","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Granofilosea","Filosa-Granofilosea_X","Novel-Gran-6","Novel-Gran-6_X","Novel-Gran-6_X_sp.",NA
"25","ZOTU-V9_10077","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"26","ZOTU-V9_1008","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"27","ZOTU-V9_10083","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"28","ZOTU-V9_1009","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Unassigned","phototrophs"
"29","ZOTU-V9_10095","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Hypotrichia","Unassigned","Unassigned","Unassigned","heterotrophs"
"30","ZOTU-V9_10100","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Peronosporales","Unassigned","Unassigned","parasites"
"31","ZOTU-V9_10102","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"32","ZOTU-V9_10103","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Unassigned","Unassigned","parasites"
"33","ZOTU-V9_10104","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Chromulinales","Chromulinaceae","Oikomonas","Oikomonas_sp.","phototrophs"
"34","ZOTU-V9_10109","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Unassigned","Unassigned","Unassigned","heterotrophs"
"35","ZOTU-V9_10117","Eukaryota","TSAR","Stramenopiles","Gyrista","Dictyochophyceae","Dictyochophyceae_X","Pedinellales","Pedinellales_X","Pedinellales_X_sp.","phototrophs"
"36","ZOTU-V9_10119","Eukaryota","TSAR","Rhizaria","Cercozoa","Endomyxa","Vampyrellida","Leptophryidae","Unassigned","Unassigned","heterotrophs"
"37","ZOTU-V9_1012","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"38","ZOTU-V9_10122","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"39","ZOTU-V9_10134","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Cystobasidiomycetes","Unassigned","Unassigned","heterotrophs"
