asv_code	domain	supergroup	division	subdivision	class	order	family	genus	species	trophic_mode
ZOTU-V7_1	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Eudiaptomus	Eudiaptomus_sp.	heterotrophs
ZOTU-V7_10	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_100	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Synurales	Synuraceae	Mallomonas	Mallomonas_heterospina	phototrophs
ZOTU-V7_1000	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.	heterotrophs
ZOTU-V7_10000	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Tetramitia_V	Vahlkampfiidae_V	Tetramitus	Tetramitus_thorntoni	heterotrophs
ZOTU-V7_10001	Eukaryota	Obazoa	Breviatea	Breviatea_X	Breviatea_XX	Breviatea_XXX	Breviata-lineage	Breviata	Breviata_anathema	heterotrophs
ZOTU-V7_10003	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10004	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10008	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10009	Eukaryota	TSAR	Stramenopiles	Gyrista	Phaeothamniophyceae	Phaeothamniales	Phaeothamniales_X	Stichogloea	Unassigned	phototrophs
ZOTU-V7_1001	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10011	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_10013	Eukaryota	Excavata	Discoba	Euglenozoa	Kinetoplastea	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10015	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Borokales	Borokaceae	Borokaceae_X	Borokaceae_X_sp.	heterotrophs
ZOTU-V7_10016	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Unassigned	Unassigned	phototrophs
ZOTU-V7_10017	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10018	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10019	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_1002	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_10021	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	Paulinellidae	Paulinella	Paulinella_chromatophora	heterotrophs
ZOTU-V7_10022	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_10023	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10024	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	Navicula_cryptocephala	phototrophs
ZOTU-V7_10025	Eukaryota	Amoebozoa	Tubulinea	Tubulinea_X	Elardia	Euamoebida	Nolandellidae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10026	Eukaryota	Obazoa	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10028	Eukaryota	TSAR	Rhizaria	Cercozoa	Novel-clade-10-12	Novel-clade-10	Novel-clade-10_X	Novel-clade-10_XX	Novel-clade-10_XX_sp.	heterotrophs
ZOTU-V7_1003	Eukaryota	TSAR	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Monocystis	Monocystis_sp.	parasites
ZOTU-V7_10031	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Ceriodaphnia	Ceriodaphnia_dubia	heterotrophs
ZOTU-V7_10032	Eukaryota	TSAR	Alveolata	Ciliophora	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10033	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chrysophyceae_Clade-EC2H	Chrysophyceae_Clade-EC2H_X	Chrysophyceae_Clade-EC2H_XX	Chrysophyceae_Clade-EC2H_XX_sp.	phototrophs
ZOTU-V7_10034	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_10037	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10038	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chromulinales	Chromulinales_X	Chromulinales_XX	Chromulinales_XX_sp.	phototrophs
