taxon	guid	mbNumber	taxonomicLevel	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource
Aabaarnia siphulicola	1214B0D5-C087-429A-ADD0-396A8CA30CF2	810084	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Siphula decumbens	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Aaosphaeria	DAB0019B-169B-4DF4-91B2-810E4FB5D8F2	6184	13	Saprotroph	Undefined Saprotroph	Probable	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Abortiporus	1CB1C270-36B9-11D5-9548-00D0592D548C	17001	13	Saprotroph	Wood Saprotroph	Highly Probable	Polyporoid	White Rot	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
Abrachium	F883110E-AC92-4BAB-886A-B6B4800E8617	561618	13	Saprotroph	Undefined Saprotroph	Probable	Phalloid	NULL	Common name - stinkhorn	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Abrothallus	1CB1C271-36B9-11D5-9548-00D0592D548C	4	13	Pathotroph	Lichen Parasite	Possible	Microfungus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Abrothallus acetabuli	7EDBA066-0C62-408F-BAB5-604B33726F23	126689	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Pleurosticta acetabulum	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus bertianus	C1639217-E5EB-4B79-A132-769D999A901A	478577	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Melanelixia	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus boomii	0534BC98-E270-48C8-8E4C-2634F59B14FC	809372	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Nephroma	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus brattii	A34A21A2-6DA1-4F08-9C02-E94EF75B6F49	809373	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Pseudocyphellaria faveolata	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus bryoriarum	EE6FB7ED-6910-4761-A7EF-E54F0D52207C	363162	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Bryoria	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus buellianus	A710E076-FC31-4B18-9A92-9BF7118D7CE9	226680	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Parmelina	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus caerulescens	1DFD30E0-51CD-4FD6-9AC6-5AF09A6662C6	227299	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Xanthoparmelia	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus canariensis	D7211DCE-9657-45D3-A565-BA505DF4F67B	809366	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Pseudocyphellaria aurata	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus cetrariae	4C748511-4999-4C59-B69B-2962F2BFE26D	203553	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Platismatia glauca	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus chrysanthus	A6F10611-D57D-43BD-A3CF-1C7E269FDAF0	630958	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Usnea	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus cladoniae	DA41DE08-2D70-45E7-A089-23BE67E99DD9	125687	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Cladonia	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus doliiformis	99D04965-09E2-4213-AA54-241333926545	809367	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Sticta	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus eriodermae	2C957913-8402-4C33-A833-DEFBE249F1F5	809368	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Erioderma	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus ertzii	DD9A08ED-D740-4FEF-8DD8-FEE5E1A55753	809369	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Lobaria pulmonaria	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus etayoi	0A9ADC20-0F38-4FEE-9CE6-3DFCA9CDCDCE	809370	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Sticta	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus granulatae	41426394-2018-4873-9C2B-2C01C81BC738	362549	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Pseudocyphellaria	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
