qseqid,qlen,sseqid,pident,evalue,bitscore,qcovs,length,ssciname
ZOTU-V7_1,223,gi|682124614|gb|KM091948.1|,100.000,4.01e-111,412,100,223,Eudiaptomus graciloides
ZOTU-V7_1,223,gi|418206687|gb|JX945122.1|,100.000,4.01e-111,412,100,223,Hemidiaptomus gurneyi canaanita
ZOTU-V7_1,223,gi|418206700|gb|JX945135.1|,100.000,4.01e-111,412,100,223,Arctodiaptomus cf. stephanidesi FM-2012
ZOTU-V7_1,223,gi|418206699|gb|JX945134.1|,100.000,4.01e-111,412,100,223,Copidodiaptomus numidicus
ZOTU-V7_1,223,gi|418206698|gb|JX945133.1|,100.000,4.01e-111,412,100,223,Diaptomus mirus
ZOTU-V7_1,223,gi|418206697|gb|JX945132.1|,100.000,4.01e-111,412,100,223,Diaptomus cyaneus
ZOTU-V7_1,223,gi|418206696|gb|JX945131.1|,100.000,4.01e-111,412,100,223,Arctodiaptomus wierzejskii
ZOTU-V7_1,223,gi|418206695|gb|JX945130.1|,100.000,4.01e-111,412,100,223,Arctodiaptomus salinus
ZOTU-V7_1,223,gi|418206694|gb|JX945129.1|,100.000,4.01e-111,412,100,223,Hemidiaptomus ignatovi
ZOTU-V7_1,223,gi|418206692|gb|JX945127.1|,100.000,4.01e-111,412,100,223,Hemidiaptomus hungaricus
ZOTU-V7_1,223,gi|418206691|gb|JX945126.1|,100.000,4.01e-111,412,100,223,Hemidiaptomus superbus
ZOTU-V7_1,223,gi|418206689|gb|JX945124.1|,100.000,4.01e-111,412,100,223,Diaptomus kenitraensis
ZOTU-V7_1,223,gi|418206688|gb|JX945123.1|,100.000,4.01e-111,412,100,223,Diaptomus castor
ZOTU-V7_1,223,gi|418206686|gb|JX945121.1|,100.000,4.01e-111,412,100,223,Eudiaptomus vulgaris
ZOTU-V7_1,223,gi|1885997855|gb|MT847600.1|,100.000,4.01e-111,412,100,223,Eudiaptomus padanus
ZOTU-V7_1,223,gi|1885730187|gb|MT840103.1|,100.000,4.01e-111,412,100,223,Calanoida sp. A986C
ZOTU-V7_1,223,gi|330434664|gb|HM135097.1|,100.000,4.01e-111,412,100,223,uncultured metazoan
ZOTU-V7_1,223,gi|330434663|gb|HM135096.1|,100.000,4.01e-111,412,100,223,uncultured metazoan
ZOTU-V7_1,223,gi|330434662|gb|HM135095.1|,100.000,4.01e-111,412,100,223,uncultured metazoan
ZOTU-V7_1,223,gi|299789655|gb|GU067991.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789648|gb|GU067984.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789647|gb|GU067983.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
